,missing_count,missing_percent,zero_count,zero_percent
PART,0,0.0,87,8.761329305135952
filler_word_ratio,0,0.0,85,8.559919436052366
SCONJ,0,0.0,76,7.653575025176234
nid_ratio,0,0.0,47,4.733131923464249
CCONJ,0,0.0,12,1.2084592145015105
light_verb_ratio,0,0.0,5,0.5035246727089627
AUX,0,0.0,4,0.4028197381671702
AUX/VERB,0,0.0,4,0.4028197381671702
ADJ,0,0.0,2,0.2014098690835851
ADV,0,0.0,2,0.2014098690835851
n_pauses,0,0.0,2,0.2014098690835851
total_pause_duration,0,0.0,2,0.2014098690835851
avg_pause_duration,0,0.0,2,0.2014098690835851
pause_word_ratio,0,0.0,2,0.2014098690835851
pause_rate,0,0.0,2,0.2014098690835851
ADP,0,0.0,1,0.10070493454179255
n_words,0,0.0,0,0.0
mattr_10,0,0.0,0,0.0
mattr_30,0,0.0,0,0.0
average_word_length,0,0.0,0,0.0
brunets_index,0,0.0,0,0.0
honores_statistic,0,0.0,0,0.0
guirauds_statistic,0,0.0,0,0.0
aoa_content,0,0.0,0,0.0
aoa_nouns,0,0.0,0,0.0
aoa_verbs,0,0.0,0,0.0
freq_content,0,0.0,0,0.0
freq_nouns,0,0.0,0,0.0
freq_verbs,0,0.0,0,0.0
concr_content,0,0.0,0,0.0
concr_nouns,0,0.0,0,0.0
concr_verbs,0,0.0,0,0.0
DET,0,0.0,0,0.0
NOUN,0,0.0,0,0.0
PRON,0,0.0,0,0.0
VERB,0,0.0,0,0.0
NOUN/VERB,0,0.0,0,0.0
PRON/NOUN,0,0.0,0,0.0
DET/NOUN,0,0.0,0,0.0
OPEN/CLOSED,0,0.0,0,0.0
information_words,0,0.0,0,0.0
phonation_rate,0,0.0,0,0.0
speech_rate_phonemes,0,0.0,0,0.0
eGeMAPS_jitterLocal_sma3nz_amean,0,0.0,0,0.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,0,0.0,0,0.0
